id,input,query,lat,lng,resolved,status
"39","경기도 광명시 일직로12번길 22  (일직동)","경기도 광명시 일직로12번길 22","37.4212333196877","126.88197712039","경기 광명시 일직로12번길 22","OK"
"40","대전광역시 유성구 엑스포로 1  (도룡동)","대전광역시 유성구 엑스포로 1","36.3751817693989","127.381765372066","대전 유성구 엑스포로 1","OK"
"41","경상북도 경주시 보문로 422  (신평동)","경상북도 경주시 보문로 422","35.8443873227269","129.285143307704","경북 경주시 보문로 422","OK"
"42","경상북도 청송군 청송읍 중앙로 315","경상북도 청송군 청송읍 중앙로 315","36.436245163675","129.062558031939","경북 청송군 청송읍 중앙로 315","OK"
"43","경기도 안양시 동안구 흥안대로 513  (관양동)","경기도 안양시 동안구 흥안대로 513","37.3997631493251","126.976329490659","경기 안양시 동안구 흥안대로 513","OK"
"44","대구광역시 수성구 팔현길 212  (만촌동)","대구광역시 수성구 팔현길 212","35.8743956534157","128.659657115395","대구 수성구 팔현길 212","OK"
"45","경기도 성남시 수정구 창업로 18 나인트리 프리미어 호텔 서울 판교 (시흥동)","경기도 성남시 수정구 창업로 18 나인트리 프리미어 호텔 서울 판교","37.4134341398421","127.098395147212","경기 성남시 수정구 창업로 18","OK"
"46","전라북도 군산시 새만금북로 435 . (오식도동)","전라북도 군산시 새만금북로 435 .","35.9485160539689","126.583917779381","전북특별자치도 군산시 새만금북로 435","OK"
"47","대구광역시 동구 동부로26길 6  (신천동)","대구광역시 동구 동부로26길 6","35.8752175612884","128.627638855379","대구 동구 동부로26길 6","OK"
"48","강원도 고성군 토성면 미시령옛길 1153 소노캄 호텔 델피노","강원도 고성군 토성면 미시령옛길 1153 소노캄 호텔 델피노","38.2131162786595","128.493440366843","강원특별자치도 고성군 토성면 미시령옛길 1153","OK"
"49","인천광역시 중구 용유서로 262-15  (을왕동)","인천광역시 중구 용유서로 262-15","37.4450066045171","126.379301501537","인천 중구 용유서로 262-15","OK"
"50","경상남도 통영시 통영해안로 407  (정량동)","경상남도 통영시 통영해안로 407","34.8458848519034","128.4309056354","경남 통영시 통영해안로 407","OK"
"51","경기도 용인시 처인구 백암면 고안로 48","경기도 용인시 처인구 백암면 고안로 48","37.1327235769127","127.402936536786","경기 용인시 처인구 백암면 고안로 48","OK"
"52","경상북도 경주시 보문로 338  (신평동)","경상북도 경주시 보문로 338","35.8503202142501","129.27718955893","경북 경주시 보문로 338","OK"
"53","부산광역시 부산진구 가야대로 772  (부전동)","부산광역시 부산진구 가야대로 772","35.156789983664","129.056416218143","부산 부산진구 가야대로 772","OK"
"54","강원도 강릉시 강동면 율곡로 1441","강원도 강릉시 강동면 율곡로 1441","37.7054583826871","129.007843904557","강원특별자치도 강릉시 강동면 율곡로 1441","OK"
"55","광주광역시 서구 상무누리로 55  (치평동)","광주광역시 서구 상무누리로 55","35.1475517828744","126.838106380955","광주 서구 상무누리로 55","OK"
"56","부산광역시 수영구 민락수변로 29 11층, 12층 (민락동)","부산광역시 수영구 민락수변로 29 11층, 12층","35.1532353292792","129.124656209034","부산 수영구 민락수변로 29","OK"
"57","충청남도 당진시 송악읍 한진포구길 30-38","충청남도 당진시 송악읍 한진포구길 30-38","36.9695409644919","126.78156815004","충남 당진시 송악읍 한진포구길 30-38","OK"
"58","부산광역시 남구 전포대로 133  (문현동)","부산광역시 남구 전포대로 133","35.1482823676143","129.065472544207","부산 남구 전포대로 133","OK"
"59","대구광역시 동구 팔공산로185길 11 (용수동)","대구광역시 동구 팔공산로185길 11","35.9909458915253","128.692104362369","대구 동구 팔공산로185길 11","OK"
"60","대전광역시 유성구 엑스포로123번길 33  (도룡동)","대전광역시 유성구 엑스포로123번길 33","36.3761915083194","127.393027449497","대전 유성구 엑스포로123번길 33","OK"
"61","전라북도 남원시 주천면 원천로 217","전라북도 남원시 주천면 원천로 217","35.4081371445415","127.414454303596","전북특별자치도 남원시 주천면 원천로 217","OK"
"62","경상남도 통영시 도남로 347 (도남동)","경상남도 통영시 도남로 347","34.8250590321833","128.440130261994","경남 통영시 도남로 347","OK"
"63","부산광역시 해운대구 해운대해변로 292  (중동)","부산광역시 해운대구 해운대해변로 292","35.1600663074705","129.163127599383","부산 해운대구 해운대해변로 292","OK"
"64","충청북도 청주시 청원구 내수읍 신기초정로 699","충청북도 청주시 청원구 내수읍 신기초정로 699","36.7190822842738","127.598676005517","충북 청주시 청원구 내수읍 신기초정로 699","OK"
"65","부산광역시 해운대구 달맞이길 30  (중동, 엘시티)","부산광역시 해운대구 달맞이길 30","35.1613327099223","129.168013841974","부산 해운대구 달맞이길 30","OK"
"66","전라남도 여수시 삼산면 거문도등대길 54","전라남도 여수시 삼산면 거문도등대길 54","34.019747390302","127.302831642264","전남 여수시 삼산면 거문도등대길 54","OK"
"67","경기도 포천시 소흘읍 죽엽산로 432-17","경기도 포천시 소흘읍 죽엽산로 432-17","37.7962085728519","127.16463674117","경기 포천시 소흘읍 죽엽산로 432-17","OK"
"68","경상남도 거제시 장평3로 80-37  (장평동)","경상남도 거제시 장평3로 80-37","34.8961574095213","128.612322390409","경남 거제시 장평3로 80-37","OK"
"69","충청북도 음성군 맹동면 장성로 107","충청북도 음성군 맹동면 장성로 107","36.9051719724737","127.545726028422","충북 음성군 맹동면 장성로 107","OK"
"70","광주광역시 동구 금남로 226-11","광주광역시 동구 금남로 226-11","35.1486618891796","126.916529643132","광주 동구 금남로 226-11","OK"
"71","충청북도 충주시 대소원면 메가폴리스2로 63","충청북도 충주시 대소원면 메가폴리스2로 63","36.9916048140072","127.816684725756","충북 충주시 대소원면 메가폴리스2로 63","OK"
"72","전라북도 군산시 가도안1길 45  (오식도동)","전라북도 군산시 가도안1길 45","35.9463056229293","126.561593567955","전북특별자치도 군산시 가도안1길 45","OK"
"73","대전광역시 유성구 온천로 81","대전광역시 유성구 온천로 81","36.3551304956729","127.347881127961","대전 유성구 온천로 81","OK"
"74","충청북도 충주시 수안보면 탑골1길 36","충청북도 충주시 수안보면 탑골1길 36","36.8437472950489","127.980777850729","충북 충주시 수안보면 탑골1길 36","OK"
"75","경기도 고양시 일산동구 태극로 20","경기도 고양시 일산동구 태극로 20","37.6619258028574","126.750807663885","경기 고양시 일산동구 태극로 20","OK"
"76","울산광역시 울주군 상북면 석남로 752-8","울산광역시 울주군 상북면 석남로 752-8","35.616018698749","129.059435759278","울산 울주군 상북면 석남로 752-8","OK"
"77","전라북도 전주시 덕진구 정언신로 186  (우아동2가)","전라북도 전주시 덕진구 정언신로 186","35.8317345411926","127.173679165533","전북특별자치도 전주시 덕진구 정언신로 186","OK"
"78","부산광역시 서구 충무대로 16  (암남동)","부산광역시 서구 충무대로 16","35.0772435540525","129.016403782493","부산 서구 충무대로 16","OK"
"79","광주광역시 동구 지호로164번길 14-10  (지산동)","광주광역시 동구 지호로164번길 14-10","35.1487597375332","126.946834844587","광주 동구 지호로164번길 14-10","OK"
"80","대전광역시 서구 한밭대로570번길 29-20  (월평동)","대전광역시 서구 한밭대로570번길 29-20","36.3569327594214","127.363263914889","대전 서구 한밭대로570번길 29-20","OK"
"81","경상북도 울릉군 울릉읍 도동1길 21-1","경상북도 울릉군 울릉읍 도동1길 21-1","37.4827565255181","130.907304514103","경북 울릉군 울릉읍 도동1길 21-1","OK"
"82","대구광역시 중구 국채보상로 611  (문화동)","대구광역시 중구 국채보상로 611","35.8709525706163","128.598106175158","대구 중구 국채보상로 611","OK"
"83","대구광역시 동구 팔공산로 1121  (용수동)","대구광역시 동구 팔공산로 1121","35.9917106062718","128.690121039379","대구 동구 팔공산로 1121","OK"
"84","충청남도 천안시 서북구 성정공원5로 42","충청남도 천안시 서북구 성정공원5로 42","36.827490150499","127.142243819131","충남 천안시 서북구 성정공원5로 42","OK"
"85","광주광역시 서구 상무연하로 46","광주광역시 서구 상무연하로 46","35.1522550763953","126.850520946837","광주 서구 상무연하로 46","OK"
